dataset;name;description;vartype;details
Baseline_Clinical_Table.xlsx;Patient ID;Patient identified number;STR;
Baseline_Clinical_Table.xlsx;YOB;Year of birth;Year;
Baseline_Clinical_Table.xlsx;Sex;Sex of individual;STR;
Baseline_Clinical_Table.xlsx;Porigin;Paternal Ethnic origin;STR;
Baseline_Clinical_Table.xlsx;Morigin;Maternal Ethnic origin;STR;
Genetic_Table.xlsx;Patient ID;Patient identified number;STR;
Genetic_Table.xlsx;Inheritance pattern;Inheritance pattern;STR;
Genetic_Table.xlsx;Gene;Causing gene;STR;
Genetic_Table.xlsx;Mutation 1;Causing mutation 1;STR;
Genetic_Table.xlsx;Mutation 2;Causing mutation 2;STR;
Baseline_Clinical_Table.xlsx;Dx;Clinical diagnosis;STR;
Baseline_Clinical_Table.xlsx;Onset;Age of disease Onset group;INT;
Dynamic_Clinical_Table.xlsx;Patient ID;Patient identified number;STR;
Dynamic_Clinical_Table.xlsx;Age;Age of examination;INT;
Dynamic_Clinical_Table.xlsx;REVA;Best Corrected Visual acuity right eye;INT;
Dynamic_Clinical_Table.xlsx;LEVA;Best Corrected Visual acuity left eye;INT;
Dynamic_Clinical_Table.xlsx;REref;Right eye refraction;STR;
Dynamic_Clinical_Table.xlsx;LEref;Left eye refraction;STR;
Dynamic_Clinical_Table.xlsx;RodRE;Rod b-wave amplidute right eye;INT;
Dynamic_Clinical_Table.xlsx;RodLE;Rod b-wave amplidute left eye;INT;
Dynamic_Clinical_Table.xlsx;MixREA;Mixed cone-rod a-waxe right eye;INT;
Dynamic_Clinical_Table.xlsx;MixLEA;Mixed cone-rod a-waxe left eye;INT;
Dynamic_Clinical_Table.xlsx;MixREB;Mixed cone-rod b-waxe right eye;INT;
Dynamic_Clinical_Table.xlsx;MixLEB;Mixed cone-rod b-waxe left eye;INT;
Dynamic_Clinical_Table.xlsx;ConeREamp;Cone 30Hx ampliture right eye;INT;
Dynamic_Clinical_Table.xlsx;ConeLEamp;Cone 30Hx ampliture left eye;INT;
Dynamic_Clinical_Table.xlsx;ConeREimp;Cone implicit time right eye;INT;
Dynamic_Clinical_Table.xlsx;ConeLEimp;Cone implicit time left eye;INT;
To be defined;Fundus;Fundus description;Image file;
To be defined;WFRE;Wide-field color right eye;Image file;
To be defined;WFLE;Wide-field color left eye;Image file;
To be defined;WFFAFRE;Wide-field FAF right eye;Image file;
To be defined;WFFAFLE;Wide-field FAF left eye;Image file;
To be defined;CMERE;Cystoid Macular edema presence right eye;Boolean;
To be defined;CMELE;Cystoid Macular edema presence left eye;Boolean;
To be defined;OCTRE;Central OCT scan right eye;Image file;
To be defined;OCTLE;Central OCT scan left eye;Image file;
To be defined;BC;Blindness Certificate;Boolean;
Dynamic_Clinical_Table.xlsx;PVFRE;Periferal visual field impaiment right eye;Boolean;
Dynamic_Clinical_Table.xlsx;PVFLE;Periferal visual field impaiment left eye;Boolean;
Dynamic_Clinical_Table.xlsx;CVFRE;Central visual field impaiment right eye;Boolean;
Dynamic_Clinical_Table.xlsx;CVFLE;Central visual field impaiment left eye;Boolean;
Baseline_Clinical_Table.xlsx;HR;Hearing disability;Boolean;
